customer_id,name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age Group
467,Welbie Rockliffe,Male,51,1954-01-02,71.0,Human Resources Assistant I,Property,Affluent Customer,N,No,15.0,71,65-74
560,Dorree Sanja,Female,1,1953-10-11,71.0,Social Worker,Health,Affluent Customer,N,No,8.0,72,65-74
719,Pattin Weathey,Male,2,1953-12-30,71.0,Administrative Officer,Retail,Mass Customer,N,No,14.0,72,65-74
846,Alvan Rebichon,Male,60,1954-03-25,70.0,Geologist I,Manufacturing,Affluent Customer,N,No,17.0,71,65-74
984,Luciano Weddup,Male,89,1954-03-25,70.0,Programmer I,Manufacturing,Affluent Customer,N,No,16.0,71,65-74
1177,Bobbette Pozzi,Female,47,1953-08-31,71.0,Food Chemist,Health,Affluent Customer,N,Yes,6.0,72,65-74
1243,Robbert Blakey,Male,73,1953-08-09,71.0,Research Assistant II,Retail,Mass Customer,N,No,8.0,72,65-74
1565,Jay Janiszewski,Male,71,1953-08-17,71.0,Sales Representative,Retail,High Net Worth,N,Yes,11.0,72,65-74
1815,Bab Bingall,Female,23,1954-03-26,70.0,Software Test Engineer I,Agriculture,Mass Customer,N,Yes,19.0,71,65-74
1905,Corabelle ,Female,21,1953-09-17,71.0,Help Desk Technician,Manufacturing,Affluent Customer,N,No,15.0,72,65-74
1915,Dusty Tesimon,Female,40,1953-10-12,71.0,Social Worker,Health,Mass Customer,N,Yes,12.0,72,65-74
1949,Onida Cockshot,Female,9,1954-05-10,70.0,Legal Assistant,Manufacturing,Mass Customer,N,No,7.0,71,65-74
2019,Neda Perkis,Female,48,1953-09-13,71.0,VP Marketing,Entertainment,High Net Worth,N,No,17.0,72,65-74
2178,Veriee Colthard,Female,20,1954-03-18,70.0,Mechanical Systems Engineer,Retail,Mass Customer,N,No,12.0,71,65-74
2208,Lavena Embling,Female,59,1954-05-07,70.0,,Unknown,Mass Customer,N,No,9.0,71,65-74
2283,Gaspar Janaway,Male,44,1954-02-08,71.0,Software Consultant,Unknown,High Net Worth,N,No,16.0,71,65-74
2482,Regan Siemens,Male,95,1953-12-10,71.0,Pharmacist,Health,Mass Customer,N,Yes,10.0,72,65-74
2486,Alaine Halbord,Female,77,1954-03-09,70.0,Structural Engineer,Manufacturing,Mass Customer,N,Yes,5.0,71,65-74
2495,Gwenore Suero,Female,89,1953-11-12,71.0,Assistant Professor,IT,Affluent Customer,N,No,17.0,72,65-74
2529,Ben Laidler,Male,81,1954-05-11,70.0,Quality Engineer,Manufacturing,High Net Worth,N,Yes,10.0,71,65-74
2599,Pauly Eilles,Female,9,1954-05-03,70.0,VP Marketing,Manufacturing,Mass Customer,N,No,5.0,71,65-74
2610,Arliene Bartolijn,Female,41,1954-04-30,70.0,Account Coordinator,IT,Mass Customer,N,No,10.0,71,65-74
2746,Carmelia Egle of Germany,Female,97,1953-10-25,71.0,Actuary,Financial Services,High Net Worth,N,Yes,7.0,72,65-74
2813,Lillian Crookall,Female,51,1953-09-10,71.0,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,11.0,72,65-74
2959,Max Gonthier,Female,1,1953-11-23,71.0,Registered Nurse,Health,Mass Customer,N,Yes,11.0,72,65-74
3100,Peggy Wrankling,Female,19,1954-02-09,70.0,Recruiter,Unknown,Mass Customer,N,No,7.0,71,65-74
3103,Shaylah Hatchell,Female,5,1953-10-21,71.0,Safety Technician II,Retail,Mass Customer,N,No,20.0,72,65-74
3259,Rabi ,Male,74,1953-11-04,71.0,Quality Control Specialist,Unknown,High Net Worth,N,No,10.0,72,65-74
3370,Brant Follis,Male,8,1954-01-22,71.0,Data Coordiator,Unknown,High Net Worth,N,Yes,5.0,71,65-74
3393,Henrietta Olexa,Female,23,1954-02-21,70.0,Technical Writer,Retail,Mass Customer,N,Yes,7.0,71,65-74
3455,Coop Skey,Male,29,1954-02-25,70.0,Administrative Officer,Unknown,Mass Customer,N,Yes,11.0,71,65-74
3471,Brita Afonso,Female,95,1953-09-05,71.0,Quality Engineer,IT,High Net Worth,N,Yes,8.0,72,65-74
3592,Pall MacCart,Male,72,1954-04-27,70.0,Junior Executive,Unknown,Mass Customer,N,No,12.0,71,65-74
3625,Cammie Rubinfeld,Female,24,1953-11-30,71.0,VP Marketing,Manufacturing,High Net Worth,N,Yes,18.0,72,65-74
3648,Tracie Bartolomeoni,Female,82,1954-02-21,70.0,Paralegal,Financial Services,Mass Customer,N,No,5.0,71,65-74
3806,Ado Gailor,Male,1,1954-02-08,71.0,,Property,Mass Customer,N,No,7.0,71,65-74
3911,Valeda Ezele,Female,81,1954-05-25,70.0,Recruiting Manager,Unknown,Mass Customer,N,No,5.0,71,65-74
13,Gabriele Norcross,Male,38,1955-02-15,69.0,Developer I,Financial Services,High Net Worth,N,Yes,8.0,70,65-74
91,Dylan Meaker,Male,69,1955-02-24,69.0,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,70,65-74
141,Townsend Trobe,Male,67,1954-06-25,70.0,Teacher,Financial Services,High Net Worth,N,Yes,10.0,71,65-74
206,Mari Chevolleau,Female,98,1954-07-19,70.0,Statistician I,Unknown,Mass Customer,N,Yes,14.0,71,65-74
230,Maegan Scyone,Female,74,1954-06-24,70.0,Internal Auditor,Property,High Net Worth,N,No,11.0,71,65-74
236,Tybalt Gillingwater,Male,79,1954-10-30,70.0,Research Nurse,Health,Affluent Customer,N,No,14.0,71,65-74
269,Zacherie Grindley,Male,55,1954-09-19,70.0,Nurse Practicioner,Property,Mass Customer,N,Yes,9.0,71,65-74
371,Pernell Favelle,Male,7,1954-07-06,70.0,Systems Administrator III,Financial Services,Mass Customer,N,No,7.0,71,65-74
393,Cesaro Isbell,Male,35,1955-02-08,70.0,Associate Professor,Manufacturing,Mass Customer,N,Yes,9.0,70,65-74
415,Conchita Jeans,Female,20,1955-05-31,69.0,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,18.0,70,65-74
512,Sigfried Semken,Male,76,1955-04-15,69.0,VP Accounting,Financial Services,Mass Customer,N,No,6.0,70,65-74
534,Madel Palffrey,Female,2,1954-08-16,70.0,Systems Administrator I,Unknown,Mass Customer,N,No,12.0,71,65-74
554,Esmaria Dobbison,Female,33,1955-05-06,69.0,Graphic Designer,Health,Mass Customer,N,Yes,7.0,70,65-74
597,Cassandra Aucoate,Female,6,1954-12-10,70.0,Recruiter,Manufacturing,Mass Customer,N,No,6.0,71,65-74
674,Dalila Rosel,Female,61,1954-08-22,70.0,Developer II,Unknown,Mass Customer,N,No,5.0,71,65-74
686,Hallie Le feaver,Female,60,1954-07-17,70.0,GIS Technical Architect,Agriculture,High Net Worth,N,Yes,5.0,71,65-74
691,Carver Carwardine,Male,29,1954-08-25,70.0,,Financial Services,Affluent Customer,N,Yes,5.0,71,65-74
794,Scott Ommundsen,Male,99,1955-05-12,69.0,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,16.0,70,65-74
1012,Anna-diane Preddle,Female,20,1955-05-20,69.0,Software Test Engineer III,Unknown,High Net Worth,N,Yes,11.0,70,65-74
1015,Toiboid Sorrel,Male,7,1955-04-01,69.0,Web Developer I,Health,Mass Customer,N,No,17.0,70,65-74
1143,Goraud Boissieux,Male,64,1955-03-06,69.0,Office Assistant IV,Health,Mass Customer,N,Yes,6.0,70,65-74
1352,Jerald Lesly,Male,53,1954-12-28,70.0,Electrical Engineer,Manufacturing,High Net Worth,N,No,18.0,71,65-74
1541,Dynah Grimes,Female,7,1954-12-28,70.0,Structural Engineer,Agriculture,Mass Customer,N,Yes,13.0,71,65-74
1610,Valaree Chisolm,Female,75,1955-02-10,69.0,Structural Engineer,Unknown,High Net Worth,N,Yes,9.0,70,65-74
1667,Jaime Simonnin,Male,67,1955-02-18,69.0,Geological Engineer,Manufacturing,High Net Worth,N,No,18.0,70,65-74
1710,Matilde MacKeeg,Female,49,1954-06-30,70.0,Health Coach IV,Health,High Net Worth,N,No,17.0,71,65-74
1739,Burnaby Stiffkins,Male,20,1954-10-06,70.0,Software Consultant,Entertainment,Mass Customer,N,No,7.0,71,65-74
1807,Pollyanna Serjeantson,Female,45,1955-03-15,69.0,Help Desk Operator,Unknown,High Net Worth,N,Yes,16.0,70,65-74
1836,Rochella Harce,Female,54,1955-06-05,69.0,Research Nurse,Health,Mass Customer,N,Yes,13.0,70,65-74
1878,Pen Hedgecock,Male,6,1954-11-06,70.0,Account Coordinator,Health,Affluent Customer,N,No,10.0,71,65-74
1978,Marge Skerm,Female,53,1955-01-06,70.0,Dental Hygienist,Health,Mass Customer,N,No,16.0,70,65-74
2050,Opal Costa,Female,22,1954-06-26,70.0,Business Systems Development Analyst,Unknown,Mass Customer,N,Yes,5.0,71,65-74
2114,Erick Caveill,Male,78,1954-11-29,70.0,Safety Technician III,Agriculture,High Net Worth,N,No,19.0,71,65-74
2361,Jeannette Cerman,Female,55,1954-11-28,70.0,Help Desk Operator,Unknown,High Net Worth,N,Yes,20.0,71,65-74
2421,Marilee Garbott,Female,54,1954-08-16,70.0,Research Nurse,Health,Affluent Customer,N,Yes,13.0,71,65-74
2506,Arlana Ferrick,Female,97,1955-01-20,70.0,,Health,Affluent Customer,N,No,9.0,70,65-74
2518,Krystalle Ives,Female,53,1954-08-22,70.0,Recruiting Manager,Unknown,Mass Customer,N,Yes,19.0,71,65-74
2573,Tera Van Weedenburg,Female,72,1954-09-23,70.0,Software Engineer I,Unknown,Mass Customer,N,No,10.0,71,65-74
2677,Zollie Exell,Male,34,1954-10-08,70.0,,Financial Services,Mass Customer,N,No,10.0,71,65-74
2713,Hadlee Mackro,Male,55,1954-11-03,70.0,Statistician II,Retail,Affluent Customer,N,Yes,5.0,71,65-74
2758,Fabien Whittlesea,Male,17,1955-05-24,69.0,,Manufacturing,Affluent Customer,N,No,19.0,70,65-74
2764,Callie Coltart,Female,12,1955-03-29,69.0,,Financial Services,Mass Customer,N,Yes,20.0,70,65-74
2772,Reynolds Vreede,Male,15,1954-10-25,70.0,Quality Engineer,Property,Affluent Customer,N,Yes,13.0,71,65-74
2815,Emery Carlett,Male,50,1954-10-30,70.0,,Health,Mass Customer,N,No,19.0,71,65-74
2950,Kristos Anthony,Male,19,1955-01-11,70.0,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,70,65-74
3004,Waylon Hammant,Male,82,1955-02-20,69.0,Research Assistant II,Health,Mass Customer,N,Yes,16.0,70,65-74
3166,Bronson Plowman,Male,96,1955-05-11,69.0,Social Worker,Health,Mass Customer,N,No,20.0,70,65-74
3372,Orazio Wissby,Male,62,1954-09-25,70.0,,Telecommunications,High Net Worth,N,No,15.0,71,65-74
3380,Abe Ealam,Male,41,1955-01-09,70.0,Speech Pathologist,Manufacturing,High Net Worth,N,Yes,14.0,70,65-74
3507,Christoph Greatreax,Male,70,1955-03-03,69.0,Physical Therapy Assistant,Financial Services,Mass Customer,N,No,5.0,70,65-74
3540,Ali Naris,Male,49,1954-08-27,70.0,,Unknown,Mass Customer,N,Yes,7.0,71,65-74
3558,Torey Sarney,Male,16,1954-09-05,70.0,,Unknown,High Net Worth,N,Yes,7.0,71,65-74
3597,Giorgi ,Male,71,1954-06-16,70.0,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,16.0,71,65-74
3603,Cale Yaneev,Male,90,1954-09-27,70.0,Sales Representative,Retail,Mass Customer,N,Yes,14.0,71,65-74
3652,Aldrich Camble,Male,20,1955-02-06,70.0,Nurse,Health,High Net Worth,N,Yes,17.0,70,65-74
3668,Katlin Ragsdale,Female,79,1955-02-09,69.0,Desktop Support Technician,Property,Mass Customer,N,Yes,6.0,70,65-74
3709,Lilly Roubay,Female,31,1955-03-31,69.0,GIS Technical Architect,Health,Mass Customer,N,No,8.0,70,65-74
3830,Jareb Filippucci,Male,92,1954-10-31,70.0,Sales Representative,Retail,High Net Worth,N,No,8.0,71,65-74
3926,Allistir Heckney,Male,24,1954-09-04,70.0,Account Executive,Manufacturing,Mass Customer,N,Yes,18.0,71,65-74
3963,Ardelle Dasent,Female,10,1954-08-22,70.0,Software Test Engineer II,Unknown,Mass Customer,N,No,13.0,71,65-74
38,Cordi Merman,Female,37,1955-10-29,69.0,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,70,65-74
98,Allianora Babalola,Female,19,1956-03-17,68.0,Safety Technician IV,Health,Mass Customer,N,No,7.0,69,65-74
113,Gage Nickless,Male,67,1956-05-06,68.0,Staff Scientist,Unknown,Mass Customer,N,No,20.0,69,65-74
166,Elston Oleszczak,Male,54,1955-06-12,69.0,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,70,65-74
275,Dud ,Male,7,1955-07-27,69.0,VP Sales,Health,High Net Worth,N,No,13.0,70,65-74
277,Jehanna Alvarado,Female,69,1956-02-19,68.0,VP Product Management,Unknown,High Net Worth,N,No,15.0,69,65-74
360,Atalanta Starbucke,Female,64,1956-04-02,68.0,Staff Scientist,Property,Mass Customer,N,Yes,19.0,69,65-74
380,Teriann Birdsey,Female,66,1956-05-15,68.0,Structural Engineer,Property,Mass Customer,N,No,17.0,69,65-74
431,Gale Done,Male,8,1956-03-26,68.0,Research Nurse,Health,Affluent Customer,N,Yes,18.0,69,65-74
471,Libby Wardesworth,Female,82,1956-01-01,69.0,GIS Technical Architect,Financial Services,Affluent Customer,N,No,14.0,69,65-74
486,Prudi Edon,Female,0,1955-12-30,69.0,Technical Writer,Manufacturing,Affluent Customer,N,Yes,15.0,70,65-74
577,Nadean Fielding,Female,41,1956-04-08,68.0,,Property,Mass Customer,N,Yes,19.0,69,65-74
615,Rebeca Martonfi,Female,93,1956-05-11,68.0,Human Resources Assistant I,Property,Mass Customer,N,No,19.0,69,65-74
701,Ransell Ruler,Male,18,1956-05-01,68.0,Food Chemist,Health,Mass Customer,N,Yes,8.0,69,65-74
722,Stewart Brosoli,Male,69,1956-03-17,68.0,Marketing Manager,IT,Mass Customer,N,No,5.0,69,65-74
767,Gustav Kos,Male,70,1955-12-16,69.0,Budget/Accounting Analyst II,Manufacturing,High Net Worth,N,No,11.0,70,65-74
968,Wayne Woodfin,Male,96,1955-06-16,69.0,Accountant IV,IT,High Net Worth,N,Yes,16.0,70,65-74
1046,Shir Clevely,Female,0,1955-07-23,69.0,Budget/Accounting Analyst II,Unknown,Affluent Customer,N,No,11.0,70,65-74
1077,Sheba Este,Female,8,1955-10-11,69.0,,Telecommunications,Mass Customer,N,Yes,18.0,70,65-74
1201,Stephani Mellhuish,Female,42,1955-11-28,69.0,,Manufacturing,Mass Customer,N,No,10.0,70,65-74
1306,Doyle Oleksinski,Male,13,1956-04-12,68.0,Occupational Therapist,Health,Affluent Customer,N,Yes,13.0,69,65-74
1319,Trevor St. Paul,Male,20,1955-07-18,69.0,,Entertainment,Mass Customer,N,Yes,12.0,70,65-74
1421,Mallorie Gouth,Female,74,1956-04-14,68.0,Senior Editor,Property,Mass Customer,N,No,20.0,69,65-74
1452,Zachery Hamber,Male,99,1955-12-31,69.0,Safety Technician III,Retail,Mass Customer,N,No,20.0,70,65-74
1553,Vanna Matts,Female,68,1956-05-31,68.0,Administrative Assistant IV,Retail,High Net Worth,N,No,7.0,69,65-74
1616,Shamus Attenbrough,Male,75,1955-08-16,69.0,Media Manager II,Retail,High Net Worth,N,Yes,19.0,70,65-74
1662,Xenia Willmett,Female,40,1956-04-01,68.0,Electrical Engineer,Manufacturing,High Net Worth,N,No,11.0,69,65-74
1675,Luke Wombwell,Male,76,1955-08-14,69.0,Engineer I,Manufacturing,Affluent Customer,N,Yes,14.0,70,65-74
1702,Bryn Whisby,Male,14,1956-04-03,68.0,Research Nurse,Health,Mass Customer,N,No,17.0,69,65-74
1745,Leigha Clawson,Female,37,1955-08-23,69.0,Chief Design Engineer,Financial Services,Mass Customer,N,Yes,6.0,70,65-74
1800,Dianemarie Hatherall,Female,30,1955-09-23,69.0,Executive Secretary,Agriculture,High Net Worth,N,No,11.0,70,65-74
2052,Ganny Sealeaf,Male,5,1955-11-30,69.0,,Retail,Mass Customer,N,Yes,8.0,70,65-74
2085,Carolynn Samsin,Female,83,1956-05-03,68.0,Pharmacist,Health,Mass Customer,N,No,11.0,69,65-74
2193,Roldan Carrington,Male,66,1955-12-16,69.0,Developer III,Unknown,Mass Customer,N,Yes,6.0,70,65-74
2226,Hedvig Flatt,Female,10,1955-07-22,69.0,Biostatistician II,Entertainment,Mass Customer,N,No,11.0,70,65-74
2228,Rosita Soppeth,Female,12,1956-03-09,68.0,Geological Engineer,Manufacturing,High Net Worth,N,No,9.0,69,65-74
2254,Ann Beek,Female,36,1955-10-21,69.0,Programmer Analyst II,Health,Affluent Customer,N,No,18.0,70,65-74
2380,Merissa Milella,Female,44,1956-04-09,68.0,Technical Writer,Retail,Mass Customer,N,Yes,15.0,69,65-74
2408,Celestia ,Female,38,1955-10-10,69.0,VP Marketing,Health,Mass Customer,N,No,16.0,70,65-74
2485,Ringo Parkyn,Male,93,1955-07-27,69.0,Help Desk Technician,Unknown,Mass Customer,N,Yes,12.0,70,65-74
2747,Anna-diane Crumpe,Female,5,1955-09-23,69.0,Software Test Engineer III,Unknown,Affluent Customer,N,No,11.0,70,65-74
2818,Frazier Streak,Male,82,1956-03-08,68.0,Software Test Engineer I,Unknown,Affluent Customer,N,No,7.0,69,65-74
2867,Lem Meegan,Male,53,1955-10-19,69.0,Sales Associate,Unknown,High Net Worth,N,No,12.0,70,65-74
2908,Tiffy Feenan,Female,42,1955-09-21,69.0,Social Worker,Health,Affluent Customer,N,Yes,11.0,70,65-74
2913,Padraic Bonnar,Male,44,1955-07-11,69.0,VP Quality Control,IT,Affluent Customer,N,Yes,14.0,70,65-74
2972,Deena Burnsides,Female,11,1956-03-18,68.0,,Unknown,High Net Worth,N,No,17.0,69,65-74
3017,Jason De Lorenzo,Male,88,1955-10-05,69.0,Operator,Financial Services,Affluent Customer,N,No,7.0,70,65-74
3129,Leola Mandrier,Female,44,1955-09-25,69.0,Analog Circuit Design manager,Property,High Net Worth,N,Yes,11.0,70,65-74
3185,Duky Crichley,Male,25,1956-01-18,69.0,Senior Financial Analyst,Financial Services,Mass Customer,N,No,10.0,69,65-74
3291,Cindy Eakin,Female,33,1956-01-21,69.0,Staff Accountant II,Manufacturing,Mass Customer,N,No,13.0,69,65-74
3330,Tina Pristnor,Female,70,1955-11-06,69.0,,Health,Mass Customer,N,Yes,18.0,70,65-74
3568,Berthe Griniov,Female,13,1955-09-15,69.0,Nurse,Retail,Affluent Customer,N,No,5.0,70,65-74
3599,Lane Maguire,Male,11,1956-02-27,68.0,Physical Therapy Assistant,Unknown,High Net Worth,N,Yes,6.0,69,65-74
3748,Maurise Beal,Male,82,1956-01-10,69.0,Staff Scientist,Unknown,Affluent Customer,N,Yes,18.0,69,65-74
3809,Angelita Itzcovichch,Female,44,1955-09-08,69.0,VP Quality Control,Manufacturing,Affluent Customer,N,No,11.0,70,65-74
3845,Bonnie Goracci,Female,72,1955-06-07,69.0,Legal Assistant,Manufacturing,Mass Customer,N,Yes,5.0,70,65-74
3846,Nariko McClymont,Female,57,1956-03-12,68.0,Geologist III,Manufacturing,Mass Customer,N,No,15.0,69,65-74
3859,Boonie Searle,Male,81,1956-03-20,68.0,Software Consultant,Manufacturing,Mass Customer,N,No,14.0,69,65-74
3899,Rex Gittings,Male,23,1955-12-28,69.0,Research Associate,Health,Affluent Customer,N,Yes,6.0,70,65-74
55,Linc Jillions,Male,48,1956-09-24,68.0,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,69,65-74
102,Langsdon Tranfield,Male,51,1956-11-27,68.0,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,69,65-74
200,Hube Weald,Male,7,1957-02-04,68.0,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,68,65-74
298,Maurise Lenglet,Male,69,1956-08-15,68.0,Engineer I,Manufacturing,High Net Worth,N,No,9.0,69,65-74
299,Corabelle Hartnell,Female,80,1956-09-15,68.0,Budget/Accounting Analyst I,Financial Services,Mass Customer,N,Yes,7.0,69,65-74
300,Malachi Hadcroft,Male,88,1956-06-22,68.0,Clinical Specialist,Health,Mass Customer,N,No,9.0,69,65-74
423,Orville Akerman,Male,43,1956-11-08,68.0,Senior Quality Engineer,Unknown,Mass Customer,N,No,9.0,69,65-74
538,Millicent Wiffler,Female,33,1956-10-21,68.0,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,5.0,69,65-74
575,Etan Poyle,Male,64,1956-06-10,68.0,VP Accounting,Financial Services,High Net Worth,N,Yes,11.0,69,65-74
647,Stanislas Baildon,Male,61,1957-01-23,68.0,Assistant Manager,Retail,Mass Customer,N,Yes,10.0,68,65-74
728,Winthrop Corser,Male,60,1956-10-03,68.0,VP Accounting,Financial Services,Mass Customer,N,Yes,8.0,69,65-74
816,Donni Boor,Female,71,1957-01-10,68.0,Product Engineer,Manufacturing,Mass Customer,N,No,15.0,68,65-74
837,Derick Fasler,Male,4,1957-01-11,68.0,Internal Auditor,Unknown,Mass Customer,N,Yes,13.0,68,65-74
1009,Nolie Orring,Female,16,1957-05-09,67.0,Research Associate,Manufacturing,High Net Worth,N,Yes,13.0,68,65-74
1037,Sissie Rielly,Female,95,1956-08-08,68.0,Human Resources Assistant II,Financial Services,Mass Customer,N,No,10.0,69,65-74
1072,Curt Petrello,Male,60,1957-06-01,67.0,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,8.0,68,65-74
1131,Sigmund Barkworth,Male,16,1956-08-07,68.0,VP Marketing,Unknown,Mass Customer,N,No,15.0,69,65-74
1426,Allyn Carswell,Female,72,1956-08-23,68.0,Financial Advisor,Financial Services,Mass Customer,N,No,17.0,69,65-74
1458,Ashley Behneke,Male,40,1956-10-22,68.0,Account Representative IV,Telecommunications,Affluent Customer,N,No,11.0,69,65-74
1461,Earl Skeels,Male,71,1957-01-04,68.0,,Retail,Mass Customer,N,Yes,9.0,68,65-74
1546,Natalya Moscone,Female,22,1956-10-28,68.0,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8.0,69,65-74
1671,Nerty Renak,Female,69,1957-01-23,68.0,Account Executive,Property,Mass Customer,N,Yes,14.0,68,65-74
1748,Skell Oxenden,Male,83,1956-06-07,68.0,Recruiter,Manufacturing,Mass Customer,N,Yes,10.0,69,65-74
1858,Gabriella ,Female,30,1957-04-26,67.0,Senior Sales Associate,Manufacturing,High Net Worth,N,Yes,11.0,68,65-74
1987,Jacobo Rosenblum,Male,56,1956-06-08,68.0,Research Associate,Health,Affluent Customer,N,No,8.0,69,65-74
1988,Kelwin Goldsmith,Male,27,1957-04-15,67.0,Recruiting Manager,Property,Mass Customer,N,No,8.0,68,65-74
2068,Wandie Nare,Female,23,1956-08-08,68.0,Account Representative I,Unknown,High Net Worth,N,No,8.0,69,65-74
2079,Eda ,Female,49,1956-07-29,68.0,Account Executive,Unknown,High Net Worth,N,No,11.0,69,65-74
2206,Osmond McCamish,Male,60,1957-05-25,67.0,Structural Engineer,Financial Services,Affluent Customer,N,No,14.0,68,65-74
2214,Farlay Plevey,Male,52,1957-03-26,67.0,,Manufacturing,High Net Worth,N,Yes,8.0,68,65-74
2282,Dominic Gregoletti,Male,81,1957-02-25,67.0,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,7.0,68,65-74
2304,Shelia Bellew,Female,65,1957-06-01,67.0,,Unknown,Mass Customer,N,Yes,11.0,68,65-74
2347,L;urette Annott,Female,79,1957-03-04,67.0,Programmer Analyst I,Unknown,High Net Worth,N,No,11.0,68,65-74
2367,Lorne Sabin,Male,40,1957-05-22,67.0,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,16.0,68,65-74
2434,Lenci Soars,Male,40,1956-11-17,68.0,Environmental Specialist,Unknown,Affluent Customer,N,No,18.0,69,65-74
2446,Lovell Kiss,Male,33,1956-09-07,68.0,,Retail,Affluent Customer,N,No,17.0,69,65-74
2476,Hal Braddon,Male,13,1956-09-25,68.0,Administrative Officer,Property,High Net Worth,N,No,17.0,69,65-74
2663,Royce Pietrowicz,Male,69,1956-08-01,68.0,Environmental Tech,Health,Mass Customer,N,Yes,19.0,69,65-74
2676,Stinky Marlen,Male,33,1957-01-21,68.0,Product Engineer,Retail,Mass Customer,N,Yes,12.0,68,65-74
2734,Hetty Thormann,Female,35,1957-03-07,67.0,,Manufacturing,High Net Worth,N,No,10.0,68,65-74
2774,Danella Chevers,Female,50,1956-07-28,68.0,,Manufacturing,Mass Customer,N,No,14.0,69,65-74
2857,Alanna Geram,Female,9,1957-04-05,67.0,Biostatistician I,Manufacturing,Mass Customer,N,Yes,17.0,68,65-74
3002,Tracey Verdun,Male,62,1956-12-06,68.0,Paralegal,Financial Services,Mass Customer,N,Yes,16.0,69,65-74
3028,Leandra Schubert,Female,67,1956-07-07,68.0,General Manager,Manufacturing,High Net Worth,N,No,20.0,69,65-74
3034,Mara Tofanini,Female,54,1956-09-09,68.0,Web Designer IV,Manufacturing,Mass Customer,N,Yes,18.0,69,65-74
3248,Alastair Van der Beken,Male,32,1957-05-15,67.0,Programmer Analyst II,Unknown,Affluent Customer,N,No,5.0,68,65-74
3270,Tracey Redsull,Male,47,1957-04-12,67.0,Administrative Officer,Financial Services,Mass Customer,N,Yes,5.0,68,65-74
3302,Faulkner McKiernan,Male,17,1956-10-30,68.0,Compensation Analyst,Financial Services,Affluent Customer,N,No,19.0,69,65-74
3348,Amanda Hazeltine,Female,93,1956-11-08,68.0,Pharmacist,Health,High Net Worth,N,Yes,6.0,69,65-74
3457,Robbi Springthorpe,Female,13,1956-09-26,68.0,,Manufacturing,Mass Customer,N,No,16.0,69,65-74
3462,Jehanna Sparhawk,Female,96,1957-03-03,67.0,Registered Nurse,Health,High Net Worth,N,No,17.0,68,65-74
